,SCH13,GZH24,YNH21,SCH27,YNH11,SCH1,SCH21,SCH12,SCH10,YNH25,YGH41,YGH40,SCH23,YNH5,GZH11,SCH15,GZH12,YNH12,SCH8,SCH30,GZH30,SCH24,GZH19,YNH22,GZH17,SCH11,GZH35,SCH25,YGH12,YNH8,YNH15,YNH16,GZH23,SCH4,YGH28,SCH28,YNH6,GZH28,YNH10,GZH25,YGH49,SCH2,YNH27,YGH19,GZH20,SCH16,YGH44,GZH13,YNH29,YNH28,YGH30,SCH14,GZH5,GZH31,SCH18,YNH9,YNH19,YNH14,YNH26,YGH10,YNH20,YNH23,YNH7,YGH43,GZH15,YNH3,SCH9,GZH10,SCH20,GZH33,SCH17,YGH31,YGH7,SCH7,YNH24,YNH1,SCH26,YNH4,YGH38,SCH6,GZH34,YGH45,YGH6,YNH18,YGH17,GZH29,GZH16,SCH29,YGH14,YGH11,SCH19,GZH32,YGH26,YGH48,YGH20,YGH16,GZH36,YNH13,GZH27,YGH1,YGH37,SCH5,YGH27,GZH22,GZH18,YGH39,YNH17,YGH34,GZH6,GZH1,YGH47,GZH26,SCH22,GZH14,SCH3,YNH2,GZH21,YGH35,YGH25
d__Bacteria;k__unclassified_d__Bacteria;p__Ignavibacteriae,0,6.61E-08,0,0,0,0,0,0,0,0,0,7.24E-08,0,0,9.68E-07,0,0,0,0,2.25E-07,0,0,0,0,0,6.08E-08,0,0,0,0,0,0,0,0,0,0,0,0,2.78E-07,0,0,0,0,0,0,0,0,0,0,0,2.32E-07,0,0,0,0,0,0,0,0,0,0,0,1.19E-07,0,0,0,0,0,0,5.36E-08,0,0,0,0,0,0,0,1.13E-07,6.16E-08,4.65E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57E-07,0,0,9.01E-08,0,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Chlorobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41E-07,0,0,0,0,0,0,0,1.46E-07,0,0,0,0,1.15E-06,0,0,0,0,0,4.65E-08,0,0,0,0,0,0,0,0,0,6.20E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Gemmatimonadetes,1.27E-07,0,0,6.08E-08,0,0,0,0,0,0,2.23E-07,0,0,0,0,6.48E-08,0,0,0,0,0,0,0,0,5.55E-08,0,0,0,7.83E-08,0,0,0,0,0,5.61E-08,6.47E-08,0,6.40E-08,0,5.33E-08,0,6.84E-08,6.58E-08,0,0,4.14E-08,0,0,6.11E-08,0,0,0,0,0,0,4.96E-08,0,0,0,0,7.64E-08,0,0,0,0,6.72E-08,0,0,0,0,0,0,0,0,0,0,5.47E-08,0,0,0,0,0,0,6.74E-08,0,0,0,1.32E-07,0,0,6.57E-08,0,0,0,7.79E-08,0,7.34E-08,0,5.30E-08,0,0,0,0,0,6.88E-08,6.96E-08,6.67E-08,5.23E-08,0,0,0,0,6.09E-08,0,0,0,0,0,0
d__Archaea;k__unclassified_d__Archaea;p__Thaumarchaeota,0,7.27E-07,0,0,0,0,0,0,0,0,7.43E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70E-07,0,5.61E-08,0,0,0,0,0,0,0,0,0,0,0,0,5.95E-08,0,0,0,0,5.33E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36E-08,0,6.46E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79E-08,0,1.47E-07,0,1.06E-07,0,0,5.11E-08,0,0,0,0,0,0,0,0,0,4.11E-08,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Elusimicrobia,0,0,0,0,0,4.46E-08,0,0,0,0,7.43E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40E-08,0,0,0,0,0,6.27E-08,0,0,0,0,0,0,0,0,0,0,0,0,4.68E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-08,0,9.29E-08,0,0,6.86E-08,0,0,0,0,0,1.13E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96E-08,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Eremiobacteraeota,0,0,0,0,0,0,0,0,0,0,7.43E-08,0,0,0,0,0,0,0,2.07E-07,0,0,0,4.28E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40E-08,0,0,9.30E-08,0,0,0,4.63E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04E-07,1.37E-07,0,0,0,0,6.58E-08,0,0,0,0,0,0,0,0,7.34E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32E-08,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Marinimicrobia,1.27E-07,1.32E-07,0,6.08E-08,0,4.46E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84E-08,0,0,0,9.23E-08,0,0,0,0,0,0,0,0,0,0,0,0,4.10E-08,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Moranbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21E-08,4.52E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10E-08,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32E-08,0,0,0,0,1.21E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57E-08,0,0,0,0,0,0,0,0,0,0,5.11E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea;k__unclassified_d__Archaea;p__Candidatus_Micrarchaeota,0,0,0,0,0,0,1.33E-07,0,0,0,0,0,0,6.27E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14E-08,0,0,0,0,5.80E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Rokubacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13E-08,0,0,0,0,0,5.33E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37E-08,0,0,1.24E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Latescibacteria,0,0,0,0,0,8.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03E-08,0,0,0,0,0,0,0,0,0,0,1.19E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Falkowbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51E-08,0,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Caldiserica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62E-08,0,0,0,0,0,0,0,0,0,0,0,0,4.10E-08,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0,7.24E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Rhodothermaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-08,6.20E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Riflebacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
